country,region,mountain_id,name,data_source,issue,elevationM_in_app,snow_forecast_elevation_m_live,base_m,summit_m,server_elevation_m,map_pin_terrain_m,metres_below_base,suggested_snow_elevation_m
US,wenatchee,mission-ridge-ski-board-resort,Mission Ridge Ski & Board Resort,catalogue,Forecast elevation = base (catalogue),1399,1189,1399,2079,1399,1412,210,1739
US,white-pass,white-pass-ski-area,White Pass Ski Area,catalogue,Forecast elevation = base (catalogue),1372,1166,1372,1981,1372,1363,206,1676
US,whitefish,blacktail-mountain-ski-area,Blacktail Mountain Ski Area,catalogue,Forecast elevation = base (catalogue),1628,1384,1628,2067,1628,1998,244,1848
US,willamette-pass,willamette-pass-resort,Willamette Pass Resort,catalogue,Forecast elevation = base (catalogue),1561,1327,1561,2036,1561,1567,234,1798
US,wrightwood,mountain-high-resorts,Mountain High Resorts,catalogue,Forecast elevation = base (catalogue),2012,1712,2012,2500,2012,2106,300,2256
US,yosemite,badger-pass-ski-area,Badger Pass Ski Area,catalogue,Forecast elevation = base (catalogue),2195,1895,2195,2377,2195,2208,300,2286
CA,canada-british-columbia,manning-park-resort,Manning Park Resort,catalogue,Mid-mountain calc drops below base,1570,1334,1350,1789,1570,1447,16,1570
CA,canada-manitoba,asessippi-ski-area-and-resort,Asessippi Ski Area & Resort,catalogue,Mid-mountain calc drops below base,518,440,457,579,518,442,17,518
CA,canada-ontario,adanac-ski-hill,Adanac Ski Hill,catalogue,Mid-mountain calc drops below base,305,263,270,340,305,282,7,305
CA,canada-ontario,bethany-ski-resort,Bethany Ski Resort,catalogue,Mid-mountain calc drops below base,318,273,274,362,318,292,1,318
CA,canada-ontario,boler-mountain,Boler Mountain,catalogue,Mid-mountain calc drops below base,295,257,262,328,295,294,5,295
CA,canada-ontario,chicopee,Chicopee,catalogue,Mid-mountain calc drops below base,342,291,314,370,342,344,23,342
CA,canada-ontario,hockley-valley-resort,Hockley Valley Resort,catalogue,Mid-mountain calc drops below base,360,306,324,396,360,329,18,360
CA,canada-ontario,horseshoe-resort,Horseshoe Resort,catalogue,Mid-mountain calc drops below base,356,303,309,402,356,312,6,356
CA,canada-ontario,lakeridge-ski-resort,Lakeridge Ski Resort,catalogue,Mid-mountain calc drops below base,338,287,300,375,338,333,13,338
CA,canada-ontario,mount-chinguacousy-ski-and-snowboard-hill,Mount Chinguacousy Ski and Snowboard Hill,catalogue,Mid-mountain calc drops below base,228,210,218,237,228,219,8,228
CA,canada-ontario,mount-dufour-ski-area,Mount Dufour Ski Area,catalogue,Mid-mountain calc drops below base,363,309,314,412,363,438,5,363
CA,canada-ontario,mount-jamieson-resort,Mount Jamieson Resort,catalogue,Mid-mountain calc drops below base,359,305,307,410,359,414,2,358
CA,canada-ontario,sir-sam-s-ski-ride,Sir Sam's Ski / Ride,catalogue,Mid-mountain calc drops below base,404,343,360,447,404,334,17,404
CA,canada-ontario,trestle-ridge-ski-hill,Trestle Ridge Ski Hill,catalogue,Mid-mountain calc drops below base,271,240,260,281,271,266,20,270
CA,canada-saskatchewan,duck-mountain-ski-area,Duck Mountain Ski Area,catalogue,Mid-mountain calc drops below base,647,550,577,716,647,562,27,646
CA,canada-saskatchewan,table-mountain-regional-park,Table Mountain Regional Park,catalogue,Mid-mountain calc drops below base,615,523,557,672,615,622,34,614
CA,canada-saskatchewan,wapiti-valley-regional-park,Wapiti Valley Regional Park,catalogue,Mid-mountain calc drops below base,472,401,432,511,472,401,31,472
US,albuquerque-sandia,sandia-peak,Sandia Peak Ski Area,authored,Mid-mountain calc drops below base,2630,2330,2630,,2630,3152,300,
US,us-ct,mount-southington,Mount Southington Ski Area,catalogue,No base/summit data; uses map-pin elevation,60,100,,,60,62,,
US,us-ct,powder-ridge-ct,Powder Ridge Mountain Park & Resort,catalogue,No base/summit data; uses map-pin elevation,116,131,,,116,118,,
US,us-ct,ski-sundown,Ski Sundown,catalogue,No base/summit data; uses map-pin elevation,152,156,,,152,154,,
US,us-ia,mt-crescent-ski-area,Mt. Crescent Ski Area,catalogue,No base/summit data; uses map-pin elevation,330,281,,,330,344,,
US,us-ia,seven-oaks-recreation,Seven Oaks Recreation,catalogue,No base/summit data; uses map-pin elevation,264,235,,,264,272,,
US,us-ia,sundown-mountain-resort,Sundown Mountain Resort,catalogue,No base/summit data; uses map-pin elevation,348,296,,,348,348,,
US,us-il,chestnut-mountain-resort,Chestnut Mountain Resort,catalogue,No base/summit data; uses map-pin elevation,311,268,,,311,313,,
US,us-il,villa-olivia,Villa Olivia,catalogue,No base/summit data; uses map-pin elevation,252,226,,,252,242,,
US,us-in,paoli-peaks,Paoli Peaks,catalogue,No base/summit data; uses map-pin elevation,245,221,,,245,240,,
US,us-in,perfect-north-slopes,Perfect North Slopes,catalogue,No base/summit data; uses map-pin elevation,156,159,,,156,154,,
US,us-ma,blue-hills-ski-area,Blue Hills Ski Area,catalogue,No base/summit data; uses map-pin elevation,82,107,,,82,78,,
